design_name,gate_count,net_count,logic_depth,fanout_max,fanout_avg,critical_path_delay_ns,slack_ns,clock_period_ns,gates_per_depth,complexity_score,fanout_variance
adder_4bit_ripple,20,29,4,3,1.67,5.848,0.0,10.0,4.0,133.6,1.33
adder_8bit_ripple,38,55,6,3,1.7,7.014,0.0,10.0,5.428571428571429,387.59999999999997,1.3
adder_4bit_cla,20,29,4,3,1.67,5.848,0.0,10.0,4.0,133.6,1.33
multiplier_4x4,36,58,5,12,2.67,6.99,0.0,10.0,6.0,480.59999999999997,9.33
mux_4to1,26,44,3,4,1.15,5.231,0.0,10.0,6.5,89.69999999999999,2.85
decoder_3to8,20,24,3,8,2.75,5.257,0.0,10.0,5.0,165.0,5.25
encoder_8to3,17,25,4,4,1.71,5.841,0.0,10.0,3.4,116.28,2.29
comparator_8bit,41,64,4,5,2.22,6.257,0.0,10.0,8.2,364.08000000000004,2.78
alu_4bit,33,45,5,8,2.49,6.867,0.0,10.0,5.5,410.85,5.51
parity_generator_8bit,13,21,4,2,1.26,5.815,0.0,10.0,2.6,65.52,0.74
counter_4bit_up,15,18,2,5,2.36,4.016,0.0,10.0,5.0,70.8,2.64
counter_8bit_updown,31,47,2,8,2.35,4.038,0.0,10.0,10.333333333333334,145.70000000000002,5.65
shift_register_8bit,20,24,2,8,2.75,4.016,0.0,10.0,6.666666666666667,110.0,5.25
fsm_sequence_detector,13,16,3,5,2.4,5.253,0.0,10.0,3.25,93.6,2.6
traffic_light_controller,28,31,2,10,3.75,4.016,0.0,10.0,9.333333333333334,210.0,6.25
fifo_8x4,97,107,2,48,3.66,4.038,0.0,10.0,32.333333333333336,710.0400000000001,44.34
lfsr_8bit,20,23,2,8,3.13,4.016,0.0,10.0,6.666666666666667,125.19999999999999,4.87
register_file_4x8,68,83,3,32,2.83,5.231,0.0,10.0,17.0,577.32,29.17
pwm_generator,39,54,2,9,2.44,4.038,0.0,10.0,13.0,190.32,6.5600000000000005
gray_counter_4bit,17,20,3,4,2.31,4.656,0.0,10.0,4.25,117.81,1.69
